salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,proteins_100g,additives_n,label
2.9,0.6,3.3,2.9,1.2,1.0,unhealthy
2.7,0.0,3.9,3.5,1.9,1.0,unhealthy
0.97,4.1,0.8,9.9,4.5,0.0,moderate
0.0,5.0,6.2,7.9,18.1,0.0,unhealthy
5.39,1.7,0.8,3.1,8.1,2.0,unhealthy
0.6,1.6,0.5,6.0,9.7,0.0,moderate
0.358,0.6,0.5,1.6,9.5,3.0,moderate
0.9375,0.0,3.57,3.6,7.14,0.0,moderate
1.09,4.4,0.5,5.8,4.4,2.0,moderate
1.3,3.8,0.3,5.5,9.4,0.0,unhealthy
18.75000125,0.0,0.0,200.0,1500.0,6.0,unhealthy
0.357,98.9,35.1,3.21,12.7,1.0,unhealthy
0.1875,55.0,20.0,2.5,7.5,1.0,unhealthy
0.27777777777777,55.555555555556,22.222222222222,0.0,11.111111111111,1.0,unhealthy
0.845,272.0,102.0,0.0,45.3,1.0,unhealthy
0.1775,57.14,19.05,0.0,4.76,0.0,unhealthy
0.075,125.0,50.0,12.5,12.5,1.0,unhealthy
0.625,125.0,62.5,0.0,18.8,0.0,unhealthy
0.2025,55.81,20.93,2.3,6.98,0.0,unhealthy
0.2025,55.81,20.93,2.3,6.98,1.0,unhealthy
0.0,42.86,14.29,7.1,0.0,7.0,unhealthy
0.0,28.95,23.68,10.5,10.53,0.0,unhealthy
0.1875,55.0,20.0,2.5,7.5,0.0,unhealthy
0.03,47.5,20.0,5.0,5.0,0.0,unhealthy
0.576,154.0,54.0,7.78,23.1,0.0,unhealthy
0.2075,55.56,19.44,2.8,8.33,1.0,unhealthy
0.1975,55.26,21.05,2.6,7.89,0.0,unhealthy
0.0325,50.0,21.05,5.3,5.26,0.0,unhealthy
0.0855,132.0,55.4,13.9,13.8,0.0,unhealthy
0.781,150.0,50.0,0.0,12.5,1.0,unhealthy
0.2075,55.56,19.44,2.8,8.33,1.0,unhealthy
0.035,50.0,19.44,5.6,5.56,0.0,unhealthy
0.2625,55.26,18.42,2.6,5.26,2.0,unhealthy
0.2625,52.63,21.05,2.6,7.89,1.0,unhealthy
0.1775,54.29,20.0,2.9,5.71,1.0,unhealthy
0.1975,55.26,21.05,2.6,7.89,1.0,unhealthy
0.235,0.78,0.0,5.5,3.12,0.0,healthy
0.19,0.0,0.0,2.4,2.35,0.0,moderate
0.0176,1.39,0.0,2.82,1.39,0.0,unhealthy
0.0176,1.39,0.0,2.82,1.39,0.0,unhealthy
0.121,1.39,0.0,1.41,1.39,0.0,unhealthy
0.224,0.0,0.0,2.82,2.76,0.0,moderate
0.224,0.0,0.0,2.82,2.76,0.0,moderate
0.075,2.38,0.0,3.6,2.38,0.0,moderate
0.0756,2.38,0.0,3.6,2.38,0.0,moderate
0.0882,2.8,0.0,4.23,2.8,0.0,moderate
0.075,2.38,0.0,3.6,2.38,0.0,moderate
0.075,2.38,0.0,3.6,2.38,0.0,moderate
0.239,1.65,0.0,1.64,0.0,0.0,unhealthy
0.20828,1.18,0.0,2.4,4.71,0.0,moderate
0.01,16.0,4.1,8.9,11.0,0.0,unhealthy
3.02,6.9,8.62,3.45,31.0,2.0,unhealthy
1.036585425,2.4390244,2.4390244,2.4390244,73.17073,4.0,unhealthy
0.02,14.62,0.0,1.5,0.0,0.0,unhealthy
0.0,0.0,23.3,6.67,6.67,0.0,unhealthy
0.417,25.0,6.25,4.17,8.33,3.0,unhealthy
1.3,1.4,0.4,8.2,10.5,1.0,unhealthy
0.61,29.5,16.6,0.0,7.9,3.0,unhealthy
1.25984,3.05,3.82,1.5,9.16,2.0,unhealthy
1.94,6.45,3.23,3.23,16.1,0.0,unhealthy
0.2425,55.56,22.22,2.8,5.56,1.0,unhealthy
0.2025,56.76,21.62,2.7,2.7,1.0,unhealthy
0.917,3.33,1.67,3.33,6.67,0.0,moderate
1.505,0.81,0.81,0.8,2.44,5.0,unhealthy
0.0,11.0,0.0,0.0,0.0,0.0,unhealthy
1.2,0.5,2.5,4.1,6.1,0.0,moderate
0.5925,1.77,0.53,0.7,6.01,2.0,unhealthy
0.01,0.5,0.3,0.9,7.0,1.0,unhealthy
0.65,2.7,0.3,9.4,11.0,2.0,moderate
0.0075,6.77,0.0,0.0,0.0,0.0,unhealthy
0.0375,10.42,0.0,0.0,0.0,0.0,unhealthy
0.01,13.33,0.0,0.0,0.0,0.0,unhealthy
0.025,10.0,0.0,0.4,0.0,0.0,unhealthy
0.015,8.33,0.0,0.0,0.42,0.0,unhealthy
0.0425,10.42,0.0,0.0,0.0,0.0,unhealthy
0.01524,8.33,0.0,0.0,0.42,0.0,unhealthy
0.015,8.33,0.0,0.0,0.42,0.0,unhealthy
0.051,2.0,0.0,1.02,1.0,0.0,unhealthy
1.83642,1.98,5.94,1.0,12.87,1.0,unhealthy
